url,title,release_year,genre,imdb_rating,runtime,age_rating,production_country,streaming_service,type
https://www.justwatch.com/in/movie/music-shop-murthy, Music Shop Murthy (2024),2024,"Music & Musical, Comedy, Drama",8.8,2h 7min,UA,India,"Amazon Prime Video , Amazon Prime Video",Movie
https://www.justwatch.com/in/movie/777-charlie, 777 Charlie (2022),2022,"Comedy, Drama, Action & Adventure",8.7,2h 46min,UA,India,"Amazon Prime Video , Apple TV , Amazon Prime Video , Jio Cinema , Jio Cinema , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/bhaag-milkha-bhaag, Bhaag Milkha Bhaag (2013),2013,"History, Drama, Sport",8.2,3h 6min,U,India,,Movie
https://www.justwatch.com/in/movie/vikram-2021, Vikram (2022),2022,"Mystery & Thriller, Crime, Drama, Action & Adventure",8.3,2h 54min,UA,India,"Zee5 , Hotstar",Movie
https://www.justwatch.com/in/movie/the-wolf-of-wall-street, The Wolf of Wall Street (2013),2013,"Crime, Drama, Comedy",8.2,3h 0min,A,United States,"Lionsgate Play , Lionsgate Play Apple TV Channel , Lionsgate Play Amazon Channel , Amazon Video",Movie
https://www.justwatch.com/in/movie/demonte-colony, Demonte Colony (2015),2015,"Comedy, Horror, Mystery & Thriller",7.0,1h 56min,UA,India,Sun Nxt,Movie
https://www.justwatch.com/in/movie/hereditary, Hereditary (2018),2018,"Horror, Mystery & Thriller, Drama",7.3,2h 8min,A,United States,"Amazon Prime Video , MUBI , Amazon Prime Video , VI movies and tv , MUBI Amazon Channel",Movie
https://www.justwatch.com/in/movie/mangalavaram, Mangalavaaram (2023),2023,"Action & Adventure, Horror, Mystery & Thriller",6.7,2h 29min,A,India,Hotstar,Movie
https://www.justwatch.com/in/movie/memories-of-murder, Memories of Murder (2003),2003,"Crime, Drama, Mystery & Thriller",8.1,2h 11min,UA,South Korea,,Movie
https://www.justwatch.com/in/movie/the-unbearable-weight-of-massive-talent, The Unbearable Weight of Massive Talent (2022),2022,"Comedy, Action & Adventure, Crime, Mystery & Thriller",7.0,1h 47min,A,United States,"Apple TV , Lionsgate Play , Netflix , Amazon Video , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/super-deluxe, Super Deluxe (2019),2019,"Comedy, Mystery & Thriller, Drama, Crime",8.2,2h 56min,A,India,"Apple TV , aha , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/tv-show/mirzapur,Mirzapur (2018),2018,"Action & Adventure, Drama, Mystery & Thriller, Crime",8.4,50min,A,India,"Amazon Prime Video , Amazon Prime Video",TV Show
https://www.justwatch.com/in/tv-show/house-of-the-dragon,House of the Dragon (2022),2022,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.4,1h 0min,A,United States,Jio Cinema,TV Show
https://www.justwatch.com/in/tv-show/adams-sweet-agony,Adam's Sweet Agony (2024),2024,Animation,NA,3min,A,Japan,"Amazon Prime Video , Amazon Prime Video , Anime Times Amazon Channel",TV Show
https://www.justwatch.com/in/tv-show/gyaarah-gyaarah,Gyaarah Gyaarah (2024),2024,"Fantasy, Drama, Science-Fiction",8.3,43min,A,India,Zee5,TV Show
https://www.justwatch.com/in/tv-show/the-boys,The Boys (2019),2019,"Science-Fiction, Action & Adventure, Crime, Drama, Comedy",8.7,1h 1min,A,United States,"Amazon Prime Video , Amazon Prime Video",TV Show
https://www.justwatch.com/in/tv-show/game-of-thrones,Game of Thrones (2011),2011,"Science-Fiction, Drama, Action & Adventure, Fantasy",9.2,58min,U,United States,Jio Cinema,TV Show
https://www.justwatch.com/in/tv-show/panchayat,Panchayat (2020),2020,"Drama, Comedy",9.0,35min,U,India,"Amazon Prime Video , Amazon Prime Video",TV Show
https://www.justwatch.com/in/tv-show/sweet-home,Sweet Home (2020),2020,"Science-Fiction, Drama, Fantasy, Horror, Mystery & Thriller",7.3,58min,A,South Korea,Netflix,TV Show
https://www.justwatch.com/in/tv-show/apharan,Apharan (2018),2018,"Action & Adventure, Crime, Mystery & Thriller, Drama",8.2,24min,A,India,Alt Balaji,TV Show
https://www.justwatch.com/in/tv-show/x-x-x-uncensored,XXX: Uncensored (2018),2018,"Comedy, Drama, Romance",4.8,22min,A,India,Alt Balaji,TV Show
https://www.justwatch.com/in/tv-show/shekhar-home,Shekhar Home (2024),2024,"Drama, Crime",8.3,42min,A,India,Jio Cinema,TV Show
https://www.justwatch.com/in/tv-show/attack-on-titan,Attack on Titan (2013),2013,"Animation, Action & Adventure, Drama, Fantasy, Horror, Science-Fiction",9.1,25min,UA,Japan,"Amazon Prime Video , Amazon Prime Video , Anime Times Amazon Channel",TV Show
https://www.justwatch.com/in/tv-show/shogun-2024,Shōgun (2024),2024,"War & Military, Drama, History",8.7,59min,UA,United States,Hotstar,TV Show
https://www.justwatch.com/in/tv-show/batman-caped-crusader,Batman: Caped Crusader (2024),2024,"Action & Adventure, Crime, Kids & Family, Fantasy, Science-Fiction, Animation",7.3,25min,UA,United States,"Amazon Prime Video , Amazon Prime Video",TV Show
https://www.justwatch.com/in/tv-show/elite,Elite (2018),2018,"Drama, Crime, Mystery & Thriller",7.2,49min,A,Spain,Netflix,TV Show
https://www.justwatch.com/in/tv-show/the-umbrella-academy,The Umbrella Academy (2019),2019,"Science-Fiction, Action & Adventure, Comedy, Drama, Fantasy",7.9,51min,A,United States,Netflix,TV Show
https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba,Demon Slayer: Kimetsu no Yaiba (2019),2019,"Animation, Action & Adventure, Science-Fiction, Mystery & Thriller, Fantasy",8.6,26min,A,Japan,"Netflix , Crunchyroll Amazon Channel",TV Show
https://www.justwatch.com/in/tv-show/tribhuvan-mishra-ca-topper,Tribhuvan Mishra CA Topper (2024),2024,"Comedy, Crime, Drama, Mystery & Thriller",7.0,57min,A,India,Netflix,TV Show
https://www.justwatch.com/in/tv-show/shahmaran,Shahmaran (2023),2023,"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller, Fantasy, Romance",5.3,49min,A,Turkey,Netflix,TV Show
